roll,course_code,semester,status
BSAI-24-001,CS101,Fall2024,enrolled
BSAI-24-001,CS102,Fall2024,enrolled
BSAI-24-001,MATH101,Fall2024,enrolled
BSAI-24-001,CS201,Fall2024,enrolled
BSAI-24-001,PHY101,Fall2024,enrolled
BSAI-24-002,CS101,Fall2024,enrolled
BSAI-24-002,CS102,Fall2024,enrolled
BSAI-24-002,MATH101,Fall2024,enrolled
BSAI-24-002,CS201,Fall2024,enrolled
BSAI-24-003,CS101,Fall2024,enrolled
BSAI-24-003,SE101,Fall2024,enrolled
BSAI-24-003,MATH101,Fall2024,enrolled
BSAI-24-003,SE102,Fall2024,enrolled
BSAI-24-004,CS102,Fall2024,enrolled
BSAI-24-004,CS202,Fall2024,enrolled
BSAI-24-004,MATH101,Fall2024,enrolled
BSAI-24-005,SE101,Fall2024,enrolled
BSAI-24-005,SE102,Fall2024,enrolled
BSAI-24-005,CS101,Fall2024,enrolled
BSAI-24-006,CS101,Fall2024,enrolled
BSAI-24-006,CS201,Fall2024,enrolled
BSAI-24-006,MATH101,Fall2024,enrolled
BSAI-24-006,CS102,Fall2024,enrolled
BSAI-24-007,SE101,Fall2024,enrolled
BSAI-24-007,CS101,Fall2024,enrolled
BSAI-24-008,CS102,Fall2024,enrolled
BSAI-24-008,CS202,Fall2024,enrolled
BSAI-24-008,MATH102,Fall2024,enrolled
BSAI-24-009,SE102,Fall2024,enrolled
BSAI-24-009,SE201,Fall2024,enrolled
BSAI-24-010,CS201,Fall2024,enrolled
BSAI-24-010,CS202,Fall2024,enrolled
BSAI-24-010,CS301,Fall2024,enrolled
BSAI-24-011,EE101,Fall2024,enrolled
BSAI-24-011,EE102,Fall2024,enrolled
BSAI-24-011,MATH101,Fall2024,enrolled
BSAI-24-012,CS101,Fall2024,enrolled
BSAI-24-012,CS102,Fall2024,enrolled
BSAI-24-012,MATH101,Fall2024,enrolled
BSAI-24-013,SE101,Fall2024,enrolled
BSAI-24-013,SE102,Fall2024,enrolled
BSAI-24-014,EE101,Fall2024,enrolled
BSAI-24-014,EE102,Fall2024,enrolled
BSAI-24-014,MATH101,Fall2024,enrolled
BSAI-24-015,CS102,Fall2024,enrolled
BSAI-24-015,CS202,Fall2024,enrolled
BSAI-24-015,SE101,Fall2024,enrolled
BSAI-24-016,CS101,Fall2024,enrolled
BSAI-24-016,CS103,Fall2024,enrolled
BSAI-24-016,MATH101,Fall2024,enrolled
BSAI-24-017,SE101,Fall2024,enrolled
BSAI-24-017,SE103,Fall2024,enrolled
BSAI-24-017,CS101,Fall2024,enrolled
BSAI-24-018,CS102,Fall2024,enrolled
BSAI-24-018,CS201,Fall2024,enrolled
BSAI-24-018,MATH101,Fall2024,enrolled
BSAI-24-019,EE101,Fall2024,enrolled
BSAI-24-019,EE201,Fall2024,enrolled
BSAI-24-019,PHY101,Fall2024,enrolled
BSAI-24-020,CS101,Fall2024,enrolled
BSAI-24-020,CS102,Fall2024,enrolled
BSAI-24-020,MATH102,Fall2024,enrolled
BSAI-24-021,SE101,Fall2024,enrolled
BSAI-24-021,SE102,Fall2024,enrolled
BSAI-24-021,CS202,Fall2024,enrolled
BSAI-24-022,CS201,Fall2024,enrolled
BSAI-24-022,CS202,Fall2024,enrolled
BSAI-24-022,MATH101,Fall2024,enrolled
BSAI-24-023,EE101,Fall2024,enrolled
BSAI-24-023,EE102,Fall2024,enrolled
BSAI-24-023,MATH101,Fall2024,enrolled
BSAI-24-024,CS101,Fall2024,enrolled
BSAI-24-024,CS103,Fall2024,enrolled
BSAI-24-024,PHY101,Fall2024,enrolled
BSAI-24-025,SE101,Fall2024,enrolled
BSAI-24-025,SE201,Fall2024,enrolled
BSAI-24-025,CS101,Fall2024,enrolled
BSAI-24-026,CS102,Fall2024,enrolled
BSAI-24-026,CS201,Fall2024,enrolled
BSAI-24-026,MATH102,Fall2024,enrolled
BSAI-24-027,EE101,Fall2024,enrolled
BSAI-24-027,EE201,Fall2024,enrolled
BSAI-24-027,EE102,Fall2024,enrolled
BSAI-24-028,CS101,Fall2024,enrolled
BSAI-24-028,CS202,Fall2024,enrolled
BSAI-24-028,MATH101,Fall2024,enrolled
BSAI-24-029,SE101,Fall2024,enrolled
BSAI-24-029,SE103,Fall2024,enrolled
BSAI-24-029,CS201,Fall2024,enrolled
BSAI-24-030,CS102,Fall2024,enrolled
BSAI-24-030,CS301,Fall2024,enrolled
BSAI-24-030,CS202,Fall2024,enrolled
BSAI-24-031,EE101,Fall2024,enrolled
BSAI-24-031,EE102,Fall2024,enrolled
BSAI-24-031,PHY101,Fall2024,enrolled
BSAI-24-032,CS101,Fall2024,enrolled
BSAI-24-032,CS103,Fall2024,enrolled
BSAI-24-032,MATH101,Fall2024,enrolled
BSAI-24-033,SE101,Fall2024,enrolled
BSAI-24-033,SE102,Fall2024,enrolled
BSAI-24-033,CS101,Fall2024,enrolled
BSAI-24-034,CS201,Fall2024,enrolled
BSAI-24-034,CS202,Fall2024,enrolled
BSAI-24-034,MATH102,Fall2024,enrolled
BSAI-24-035,EE101,Fall2024,enrolled
BSAI-24-035,EE201,Fall2024,enrolled
BSAI-24-035,EE102,Fall2024,enrolled
BSAI-24-036,CS102,Fall2024,enrolled
BSAI-24-036,CS301,Fall2024,enrolled
BSAI-24-036,CS202,Fall2024,enrolled
BSAI-24-037,SE101,Fall2024,enrolled
BSAI-24-037,SE201,Fall2024,enrolled
BSAI-24-037,CS101,Fall2024,enrolled
BSAI-24-038,CS101,Fall2024,enrolled
BSAI-24-038,CS102,Fall2024,enrolled
BSAI-24-038,MATH101,Fall2024,enrolled
BSAI-24-039,EE101,Fall2024,enrolled
BSAI-24-039,EE102,Fall2024,enrolled
BSAI-24-039,MATH101,Fall2024,enrolled
BSAI-24-040,CS201,Fall2024,enrolled
BSAI-24-040,CS202,Fall2024,enrolled
BSAI-24-040,CS301,Fall2024,enrolled
BSAI-24-041,SE101,Fall2024,enrolled
BSAI-24-041,SE102,Fall2024,enrolled
BSAI-24-041,CS201,Fall2024,enrolled
BSAI-24-042,CS102,Fall2024,enrolled
BSAI-24-042,CS301,Fall2024,enrolled
BSAI-24-042,MATH101,Fall2024,enrolled
BSAI-24-043,EE101,Fall2024,enrolled
BSAI-24-043,EE201,Fall2024,enrolled
BSAI-24-043,PHY101,Fall2024,enrolled
BSAI-24-044,CS101,Fall2024,enrolled
BSAI-24-044,CS103,Fall2024,enrolled
BSAI-24-044,MATH102,Fall2024,enrolled
BSAI-24-045,SE101,Fall2024,enrolled
BSAI-24-045,SE103,Fall2024,enrolled
BSAI-24-045,CS101,Fall2024,enrolled
BSAI-24-046,CS201,Fall2024,enrolled
BSAI-24-046,CS202,Fall2024,enrolled
BSAI-24-046,MATH101,Fall2024,enrolled
BSAI-24-047,EE101,Fall2024,enrolled
BSAI-24-047,EE102,Fall2024,enrolled
BSAI-24-047,EE201,Fall2024,enrolled
BSAI-24-048,CS102,Fall2024,enrolled
BSAI-24-048,CS301,Fall2024,enrolled
BSAI-24-048,CS202,Fall2024,enrolled
BSAI-24-049,SE101,Fall2024,enrolled
BSAI-24-049,SE201,Fall2024,enrolled
BSAI-24-049,CS102,Fall2024,enrolled
BSAI-24-050,CS101,Fall2024,enrolled
BSAI-24-050,CS102,Fall2024,enrolled
BSAI-24-050,MATH101,Fall2024,enrolled
BSAI-24-051,EE101,Fall2024,enrolled
BSAI-24-051,EE102,Fall2024,enrolled
BSAI-24-051,PHY101,Fall2024,enrolled
BSAI-24-052,CS201,Fall2024,enrolled
BSAI-24-052,CS202,Fall2024,enrolled
BSAI-24-052,MATH102,Fall2024,enrolled
BSAI-24-053,SE101,Fall2024,enrolled
BSAI-24-053,SE102,Fall2024,enrolled
BSAI-24-053,CS101,Fall2024,enrolled
BSAI-24-054,CS103,Fall2024,enrolled
BSAI-24-054,CS201,Fall2024,enrolled
BSAI-24-054,MATH101,Fall2024,enrolled
BSAI-24-055,EE101,Fall2024,enrolled
BSAI-24-055,EE201,Fall2024,enrolled
BSAI-24-055,EE102,Fall2024,enrolled
BSAI-24-056,CS101,Fall2024,enrolled
BSAI-24-056,CS102,Fall2024,enrolled
BSAI-24-056,CS301,Fall2024,enrolled
BSAI-24-057,SE101,Fall2024,enrolled
BSAI-24-057,SE103,Fall2024,enrolled
BSAI-24-057,CS201,Fall2024,enrolled
BSAI-24-058,CS202,Fall2024,enrolled
BSAI-24-058,CS301,Fall2024,enrolled
BSAI-24-058,MATH101,Fall2024,enrolled
BSAI-24-059,EE101,Fall2024,enrolled
BSAI-24-059,EE102,Fall2024,enrolled
BSAI-24-059,MATH101,Fall2024,enrolled
BSAI-24-060,CS101,Fall2024,enrolled
BSAI-24-060,CS103,Fall2024,enrolled
BSAI-24-060,PHY101,Fall2024,enrolled
BSAI-24-061,SE101,Fall2024,enrolled
BSAI-24-061,SE201,Fall2024,enrolled
BSAI-24-061,CS101,Fall2024,enrolled
BSAI-24-062,CS102,Fall2024,enrolled
BSAI-24-062,CS201,Fall2024,enrolled
BSAI-24-062,MATH102,Fall2024,enrolled
BSAI-24-063,EE101,Fall2024,enrolled
BSAI-24-063,EE201,Fall2024,enrolled
BSAI-24-063,PHY101,Fall2024,enrolled
BSAI-24-064,CS101,Fall2024,enrolled
BSAI-24-064,CS202,Fall2024,enrolled
BSAI-24-064,MATH101,Fall2024,enrolled
BSAI-24-065,SE101,Fall2024,enrolled
BSAI-24-065,SE102,Fall2024,enrolled
BSAI-24-065,CS201,Fall2024,enrolled
BSAI-24-066,CS301,Fall2024,enrolled
BSAI-24-066,CS302,Fall2024,enrolled
BSAI-24-066,CS202,Fall2024,enrolled
BSAI-24-067,EE101,Fall2024,enrolled
BSAI-24-067,EE102,Fall2024,enrolled
BSAI-24-067,MATH101,Fall2024,enrolled
BSAI-24-068,CS101,Fall2024,enrolled
BSAI-24-068,CS103,Fall2024,enrolled
BSAI-24-068,CS201,Fall2024,enrolled
BSAI-24-069,SE101,Fall2024,enrolled
BSAI-24-069,SE103,Fall2024,enrolled
BSAI-24-069,CS101,Fall2024,enrolled
BSAI-24-070,CS102,Fall2024,enrolled
BSAI-24-070,CS202,Fall2024,enrolled
BSAI-24-070,MATH102,Fall2024,enrolled
BSAI-24-071,EE101,Fall2024,enrolled
BSAI-24-071,EE201,Fall2024,enrolled
BSAI-24-071,EE102,Fall2024,enrolled
BSAI-24-072,CS201,Fall2024,enrolled
BSAI-24-072,CS301,Fall2024,enrolled
BSAI-24-072,MATH101,Fall2024,enrolled
BSAI-24-073,SE101,Fall2024,enrolled
BSAI-24-073,SE102,Fall2024,enrolled
BSAI-24-073,CS101,Fall2024,enrolled
BSAI-24-074,CS101,Fall2024,enrolled
BSAI-24-074,CS103,Fall2024,enrolled
BSAI-24-074,PHY101,Fall2024,enrolled
BSAI-24-075,EE101,Fall2024,enrolled
BSAI-24-075,EE102,Fall2024,enrolled
BSAI-24-075,MATH101,Fall2024,enrolled
BSAI-24-076,CS102,Fall2024,enrolled
BSAI-24-076,CS201,Fall2024,enrolled
BSAI-24-076,CS202,Fall2024,enrolled
BSAI-24-077,SE101,Fall2024,enrolled
BSAI-24-077,SE201,Fall2024,enrolled
BSAI-24-077,CS201,Fall2024,enrolled
BSAI-24-078,CS301,Fall2024,enrolled
BSAI-24-078,CS302,Fall2024,enrolled
BSAI-24-078,MATH101,Fall2024,enrolled
BSAI-24-079,EE101,Fall2024,enrolled
BSAI-24-079,EE201,Fall2024,enrolled
BSAI-24-079,EE102,Fall2024,enrolled
BSAI-24-080,CS101,Fall2024,enrolled
BSAI-24-080,CS202,Fall2024,enrolled
BSAI-24-080,MATH102,Fall2024,enrolled
BSAI-24-081,SE101,Fall2024,enrolled
BSAI-24-081,SE103,Fall2024,enrolled
BSAI-24-081,CS101,Fall2024,enrolled
BSAI-24-082,CS102,Fall2024,enrolled
BSAI-24-082,CS301,Fall2024,enrolled
BSAI-24-082,CS201,Fall2024,enrolled
BSAI-24-083,EE101,Fall2024,enrolled
BSAI-24-083,EE102,Fall2024,enrolled
BSAI-24-083,PHY101,Fall2024,enrolled
BSAI-24-084,CS101,Fall2024,enrolled
BSAI-24-084,CS103,Fall2024,enrolled
BSAI-24-084,MATH101,Fall2024,enrolled
BSAI-24-085,SE101,Fall2024,enrolled
BSAI-24-085,SE102,Fall2024,enrolled
BSAI-24-085,CS202,Fall2024,enrolled
BSAI-24-086,CS201,Fall2024,enrolled
BSAI-24-086,CS301,Fall2024,enrolled
BSAI-24-086,CS102,Fall2024,enrolled
BSAI-24-087,EE101,Fall2024,enrolled
BSAI-24-087,EE201,Fall2024,enrolled
BSAI-24-087,MATH101,Fall2024,enrolled
BSAI-24-088,CS101,Fall2024,enrolled
BSAI-24-088,CS102,Fall2024,enrolled
BSAI-24-088,CS202,Fall2024,enrolled
BSAI-24-089,SE101,Fall2024,enrolled
BSAI-24-089,SE201,Fall2024,enrolled
BSAI-24-089,CS101,Fall2024,enrolled
BSAI-24-090,CS301,Fall2024,enrolled
BSAI-24-090,CS302,Fall2024,enrolled
BSAI-24-090,MATH102,Fall2024,enrolled
BSAI-24-091,EE101,Fall2024,enrolled
BSAI-24-091,EE102,Fall2024,enrolled
BSAI-24-091,PHY101,Fall2024,enrolled
BSAI-24-092,CS102,Fall2024,enrolled
BSAI-24-092,CS201,Fall2024,enrolled
BSAI-24-092,MATH101,Fall2024,enrolled
BSAI-24-093,SE101,Fall2024,enrolled
BSAI-24-093,SE103,Fall2024,enrolled
BSAI-24-093,CS201,Fall2024,enrolled
BSAI-24-094,CS101,Fall2024,enrolled
BSAI-24-094,CS202,Fall2024,enrolled
BSAI-24-094,CS301,Fall2024,enrolled
BSAI-24-095,EE101,Fall2024,enrolled
BSAI-24-095,EE201,Fall2024,enrolled
BSAI-24-095,EE102,Fall2024,enrolled
BSAI-24-096,CS103,Fall2024,enrolled
