roll,semester,amount_due,amount_paid,due_date,paid_date
BSAI-24-001,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-001,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-002,Fall2024,50000,25000,15-01-2024,10-01-2024
BSAI-24-002,Spring2024,55000,55000,15-07-2024,12-07-2024
BSAI-24-003,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-003,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-004,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-004,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-005,Fall2024,50000,50000,15-01-2024,08-01-2024
BSAI-24-005,Spring2024,55000,55000,15-07-2024,08-07-2024
BSAI-24-006,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-006,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-007,Fall2024,50000,30000,15-01-2024,15-01-2024
BSAI-24-007,Spring2024,55000,55000,15-07-2024,09-07-2024
BSAI-24-008,Fall2024,50000,50000,15-01-2024,09-01-2024
BSAI-24-008,Spring2024,55000,55000,15-07-2024,11-07-2024
BSAI-24-009,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-009,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-010,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-010,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-011,Fall2024,50000,20000,15-01-2024,14-01-2024
BSAI-24-011,Spring2024,55000,25000,15-07-2024,14-07-2024
BSAI-24-012,Fall2024,50000,50000,15-01-2024,07-01-2024
BSAI-24-012,Spring2024,55000,55000,15-07-2024,06-07-2024
BSAI-24-013,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-013,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-014,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-014,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-015,Fall2024,50000,15000,15-01-2024,13-01-2024
BSAI-24-015,Spring2024,55000,20000,15-07-2024,13-07-2024
